日期,股票代號,股票名稱,股數,權重
2025-08-01,2330,台灣積體電路製造,170000,7.16
2025-08-01,2317,鴻海精密工業,716000,4.8
2025-08-01,2454,聯發科技,93000,4.64
2025-08-01,2382,廣達電腦,438000,4.61
2025-08-01,2308,台達電子工業,184000,4
2025-08-01,2357,華碩電腦,155000,3.81
2025-08-01,2881,富邦金融控股,1105000,3.37
2025-08-01,2345,智邦科技,81000,2.64
2025-08-01,2383,台光電子材料,59000,2.44
2025-08-01,3044,健鼎科技,235000,2.44
2025-08-01,2891,中國信託金融控股,1566000,2.4
2025-08-01,6669,緯穎科技服務,23000,2.32
2025-08-01,9802,鈺齊國際,598000,2.29
2025-08-01,3017,奇鋐科技,64000,2.17
2025-08-01,2884,玉山金融控股,1799622,2.14
2025-08-01,2379,瑞昱半導體,98000,1.99
2025-08-01,2059,川湖科技,20000,1.95
2025-08-01,2393,億光電子工業,715000,1.84
2025-08-01,3665,貿聯控股（BizLink Holding In,54336,1.8
2025-08-01,3293,鈊象電子,60000,1.73
2025-08-01,6223,旺矽科技,44000,1.67
2025-08-01,2360,致茂電子,95000,1.66
2025-08-01,3653,健策精密工業,32000,1.64
2025-08-01,5234,達興材料,145000,1.35
2025-08-01,9907,統一實業,1990000,1.33
2025-08-01,5904,寶雅國際,71450,1.23
2025-08-01,6510,中華精測科技,36000,1.15
2025-08-01,6757,台灣虎航,361000,1.14
2025-08-01,5434,崇越科技,105000,1.1
2025-08-01,5534,長虹建設,357000,1.08
2025-08-01,6274,台燿科技,107000,1.07
2025-08-01,5439,高技企業,102000,0.99
2025-08-01,6121,新普科技,62000,0.93
2025-08-01,8114,振樺電子,97000,0.92
2025-08-01,8016,矽創電子,116000,0.87
2025-08-01,3529,力旺電子,11000,0.84
2025-08-01,4915,致伸科技,301000,0.82
2025-08-01,3526,凡甲科技,93000,0.81
2025-08-01,6442,光紅建聖,36000,0.81
2025-08-01,6561,是方電訊,49000,0.81
2025-08-01,6811,宏碁資訊服務,91000,0.8
2025-08-01,2610,中華航空,940000,0.71
2025-08-01,3211,順達科技,77000,0.65
2025-08-01,3227,原相科技,85000,0.63
2025-08-01,8028,昇陽國際半導體,121000,0.63
